Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
HPQ,2021-01-14,25.579999923706055,25.93000030517578,25.559999465942383,25.6200008392334,8289800.0,0.0,0.0
IBM,1998-01-20,32.53092283361098,33.51670837402344,32.37628980766393,33.51670837402344,9941200.0,0.0,0.0
IBM,2021-01-14,128.02000427246094,130.16000366210938,127.55000305175781,128.97000122070312,7502200.0,0.0,0.0
IP,1998-01-20,21.18237649040574,21.834141159262035,20.79724107226305,21.77488899230957,2603900.0,0.0,0.0
IP,2021-01-14,50.81999969482422,50.970001220703125,49.93000030517578,49.97999954223633,2417000.0,0.0,0.0
JNJ,1998-01-20,19.40006581677092,19.82840213655243,19.15020296356504,19.792707443237305,6008400.0,0.0,0.0
JNJ,2021-01-14,160.4499969482422,161.9499969482422,159.61000061035156,160.64999389648438,10022700.0,0.0,0.0
JPM,1998-01-20,18.12824149742745,18.405495643951426,17.733684365519764,18.288196563720703,8127000.0,0.0,0.0
JPM,2021-01-14,140.49000549316406,142.75,140.0,141.1699981689453,18516900.0,0.0,0.0
KODK,1998-01-20,,,,,,,
KODK,2021-01-14,7.940000057220459,8.90999984741211,7.849999904632568,8.329999923706055,8504100.0,0.0,0.0
MCD,1998-01-20,13.799255669116974,14.018291473388672,13.781002685427666,14.018291473388672,3861600.0,0.0,0.0
MCD,2021-01-14,212.10000610351562,212.6699981689453,208.0,208.5,3659900.0,0.0,0.0
MMM,1998-01-20,23.316347122192383,23.386366182619387,23.22882329665863,23.316347122192383,2081600.0,0.0,0.0
MMM,2021-01-14,167.27000427246094,167.36000061035156,165.22999572753906,166.41000366210938,2895000.0,0.0,0.0
MO,1998-01-20,3.0021885548075153,3.00635247790711,2.856451246321714,2.9064183235168457,8169300.0,0.0,0.0
MO,2021-01-14,41.18000030517578,41.779998779296875,40.880001068115234,41.11000061035156,6953500.0,0.0,0.0
MRK,1998-01-20,24.562930534412335,25.75638365642333,24.53517581064464,25.64536476135254,10453600.0,0.0,0.0
MRK,2021-01-14,82.41999816894531,82.80000305175781,81.87999725341797,82.16999816894531,10844500.0,0.0,0.0
PG,1998-01-20,22.359323117755146,22.533325632290207,22.237521357580604,22.481124877929688,3412800.0,0.0,0.0
PG,1998-01-21,,,,,,0.126,0.0
PG,2021-01-14,137.42999267578125,137.64999389648438,135.27999877929688,135.8000030517578,6171300.0,0.0,0.0
RTX,1998-01-20,7.082704012169112,7.119949139288719,6.97717735605492,7.088911533355713,5717200.0,0.0,0.0
RTX,2021-01-14,71.0,72.37000274658203,70.55000305175781,70.94000244140625,9712000.0,0.0,0.0
SHLDQ,1998-01-20,,,,,,,
